10222,34
11884,36
8323,21
10698,28
11350,38
11034,36
8371,21
9232,31
11472,35
12503,43
5714,14
12045,45
11283,31
11912,42
6979,12
11149,30
6500,14
6251,14
12574,43
14488,50
14920,52
13537,43
14134,50
9110,30
8306,24
5782,11
10832,33
11883,37
12817,40
12073,40
12659,37
12312,44
10742,38
11173,33
13807,42
6500,14
10042,30
11163,40
11555,35
11225,37
9533,27
12583,42
12166,37
12179,38
14254,53
12853,42
12333,44
11270,33
13188,47
7030,13
10679,29
13736,43
11602,33
13133,37
12762,37
11058,31
10894,27
12615,40
5143,11
13212,39
12428,40
11186,28
12954,46
12806,44
10733,35
10058,33
12602,44
12327,38
11775,38
13323,44
11737,37
13756,48
15620,54
12822,40
11670,40
9282,25
11469,29
12406,41
12433,32
11431,35
11040,26
7032,12
13601,50
12676,38
6501,13
11199,40
13106,44
10964,40
13298,41
11852,27
11337,36
10070,29
10493,29
11347,40
10612,34
12597,42
12077,38
13668,49
10342,33
9587,27
11794,34
11309,37
11191,41
10478,33
12199,42
11194,31
10549,31
11811,35
12227,39
13176,44
13117,45
11720,38
11336,32
10157,26
14973,54
6557,14
9860,25
11947,41
10828,36
10722,34
12668,44
12786,41
14827,55
11745,41
12939,41
12079,38
9565,30
13692,40
13081,42
13640,52
13311,38
12468,42
6171,12
10399,31
8133,22
10793,34
11902,39
14050,49
11227,35
11249,37
10567,35
12586,43
10838,31
12541,40
12170,34
9970,27
6060,14
13353,43
12278,35
6077,13
9914,30
10491,33
11932,37
12991,48
10356,29
12243,39
9557,29
9704,33
11650,34
11928,41
11508,36
10771,33
11049,32
7354,12
9348,24
11943,36
9960,27
10795,31
12775,41
9830,27
10929,32
9529,27
11924,34
10426,27
11112,29
14005,46
14182,53
10741,34
12390,51
10134,27
11593,33
12339,42
10465,35
11800,39
11240,39
8325,20
11046,36
12001,41
7838,18
9378,27
12437,32
13406,49
11882,40
11712,37
8486,27
14024,49
10335,27
12811,42
9165,28
10249,36
11465,31
10628,33
12690,40
8530,24
13770,52
10526,32
13154,39
12995,44
12833,42
13881,48
11570,37
10152,32
12021,40
10598,36
6133,13
10019,32
13573,48
8063,21
10337,33
13460,44
12134,38
11281,34
11529,30
11957,37
12616,45
13538,42
7302,15
11678,30
12382,41
12454,39
11361,36
15605,61
11129,38
12858,45
11013,33
14992,53
10449,29
11706,38
11350,36
13615,46
11507,39
14296,58
12673,38
13104,49
11973,35
13180,42
7000,14
11922,38
11819,37
12798,46
12046,40
11063,39
10009,27
12317,40
10464,26
13975,47
10938,33
11731,38
5465,10
11794,36
12179,41
13109,48
10413,33
13424,47
12060,40
14112,47
13102,38
6582,12
10318,31
10358,31
11373,30
12500,35
12484,45
12383,44
10833,33
10977,33
12094,36
11128,36
10730,32
13063,38
11773,43
10259,31
11539,32
6750,13
12758,42
10370,27
14089,48
13056,44
13236,44
10366,28
11853,32
10090,28
12332,34
6515,14
12021,40
12197,33
10882,36
9200,25
11375,39
10656,31
14096,43
12888,47
13449,41
12226,42
13802,46
10669,33
8701,26
12901,40
11514,35
5185,14
5248,11
8550,22
11014,31
11264,37
10153,29
10498,34
11408,39
11932,34
12948,46
12635,38
13492,47
11269,32
8802,25
9993,24
13928,42
13132,39
13712,47
11262,32
11225,34
15168,50
12596,36
10371,28
13235,43
9919,30
12759,39
10870,35
10964,35
10845,28
12737,42
10626,31
13799,49
12778,43
11888,36
11538,34
10876,33
11558,38
12793,39
9801,32
12382,45
9868,28
12892,40
11590,38
14884,52
10434,28
14761,57
11294,37
10921,41
9428,30
10224,30
10177,32
13236,42
13232,45
12113,39
11651,41
11448,31
13833,41
9644,33
9929,28
10559,33
11961,38
11922,32
5330,11
8593,21
13403,44
10786,31
9177,31
13848,49
13367,46
10660,29
12020,37
12965,44
8715,26
11587,32
11518,43
11951,36
8727,22
11334,39
9036,23
13925,47
11171,35
12678,41
12479,35
13067,42
6162,13
10928,29
13202,48
11829,31
12692,42
13544,44
12983,51
11716,32
11174,33
12301,41
13536,45
13261,44
10342,28
5566,11
12250,39
10560,32
14140,51
10571,30
11758,39
11446,39
12376,38
10828,28
11745,35
15257,52
13132,47
12037,34
10193,27
14864,58
11657,39
9583,32
12870,34
6359,11
13654,50
13676,43
12454,37
9395,26
12106,39
12328,43
12400,35
12391,40
10876,38
13241,39
13420,43
13194,45
12147,35
10108,27
6893,12
6101,13
12242,34
10985,31
12053,39
13708,44
12021,37
11145,33
11648,33
10958,31
11628,35
10021,28
13045,40
9072,29
10167,32
11722,33
13170,52
14642,57
10807,28
12101,36
12647,41
6925,13
12422,42
10807,34
13686,42
8854,24
13553,46
5487,11
11039,36
14389,54
11991,42
11921,41
9791,26
11307,31
10009,28
11119,37
10853,32
11720,39
6933,14
13622,45
14143,46
14478,46
13059,45
13764,49
12303,38
12602,37
